company,type,city,website,domain,careers_url,status,source_type,ats,confidence,evidence
101XP,Developer and Publisher,Nicosia,https://101xp.com/,101xp.com,,error,,,0,error:FeatureNotFound
AB Games,Mobile,Limassol,https://ab-games.com/,ab-games.com,https://ab-games.com/jobs/2d-visual-content-maker/,found,custom,,68,homepage-link:Remote Київ Рівне hot 2D / Visual Content Maker | career-like-url
Amrita Studio,Developer,Rowye,https://amrita.studio/,amrita.studio,https://amrita.studio/career,possible,custom,,62,homepage-link:Career | page:join our team | career-like-url
AppQuantum,Developer and Publisher,Limassol,https://appquantum.com/,appquantum.com,https://appquantum.pinpointhq.com/,found,custom,,89,homepage-link:Careers | page:open positions | page:view jobs
Artstorm,Mobile,Limassol,https://artstorm.com/,artstorm.com,https://artstorm.com/en-US/careers,found,custom,,85,homepage-link:Careers | career-like-url
Ascanio,Extended Reality (XR),Nicosia,https://ascanio.io/,ascanio.io,https://ascanio.io/careers,possible,custom,,55,common-path:/careers | career-like-url
AtentGames,Developer,Nicosia,https://atentgames.com/,atentgames.com,,error,,,0,error:FeatureNotFound
AurumDust,Developer,Nicosia,https://aurumdust.com/,aurumdust.com,,error,,,0,error:FeatureNotFound
Awem Games,Mobile,Paphos,https://awem.com/,awem.com,https://awem.com/careers,found,custom,,100,homepage-link:Вакансии | page:вакансии | career-like-url
Azur Games,Mobile,Strovolos,https://azurgames.com/,azurgames.com,,error,,,0,error:FeatureNotFound
Belka Games,Mobile,Limassol,https://belka-games.com/,belka-games.com,https://belka-games.com/careers,possible,custom,,55,common-path:/careers | career-like-url
BIT.GAMES,Mobile,Limassol,https://bit.games/,bit.games,https://bit.games/job,possible,custom,,48,homepage-link:jobs
Burny Games,Developer,Nicosia,https://www.burny.games/,burny.games,https://careers.burny.games/,found,custom,,100,homepage-link:Careers | page:job openings | page:apply now | career-like-url
Chillbase,Mobile,Nicosia,https://chillbase.net/,chillbase.net,https://chillbase.net/vacancies/,found,custom,,67,homepage-link:All categories : new | page:open positions | career-like-url
Colossi Games,Mobile,Limassol,https://www.colossi.games,colossi.games,https://www.colossi.games/vacancies/,found,custom,,79,homepage-link:Vacancies | page:job openings | page:apply now | career-like-url
Critical Reflex,Publisher,Nicosia,https://criticalreflex.com/,criticalreflex.com,https://www.criticalreflex.com/jobs,found,custom,,80,homepage-link:JOBS | page:job openings | career-like-url
Cubic Games (Nexters),Mobile,Limassol,https://cubicgames.com/,cubicgames.com,https://cubicgames.com/job/,possible,custom,,53,homepage-link:Job Vacancies 0
Cyril Megem (Nominia),Microstudio,Paphos,http://warshift.net/,warshift.net,,error,,,0,error:FeatureNotFound
DEUSCRAFT,Mobile,Limassol,https://www.deuscraft.com/,deuscraft.com,,error,,,0,error:FeatureNotFound
Domini Games,Developer,Limassol,https://dominigames.com/,dominigames.com,,error,,,0,error:FeatureNotFound
Ducky,Mobile,Limassol,https://playducky.com/,playducky.com,,error,,,0,error:FeatureNotFound
Easybrain (Miniclip),Mobile,Limassol,https://www.easybrain.com,easybrain.com,https://easybrain.com/careers,found,custom,,100,homepage-link:All Jobs | page:job openings | page:apply now | career-like-url
Emotion Spark Studio,Developer,Nicosia,http://emotion.mycpanel.rs/,emotion.mycpanel.rs,,unreachable,,,0,homepage-unreachable
Eschatology Entertainment,Developer,Nicosia,https://eschatology-entertainment.com/,eschatology-entertainment.com,,error,,,0,error:FeatureNotFound
ESDigital Games,Developer and Publisher,Limassol,https://esdigital.games/,esdigital.games,,error,,,0,error:FeatureNotFound
Game Gears (GDEV),Mobile,Limassol,https://www.gamegears.online/,gamegears.online,,not_found,,,0,
GDEV,Publisher,Limassol,https://www.gdev.inc/,gdev.inc,,not_found,,,0,
Gem Capital,Investment,Paphos,https://gem.capital/,gem.capital,https://gem.capital/2025/02/06/join-us-at-the-wn-conference-abu-dhabi-2025/,possible,custom,,55,common-path:/join-us | career-like-url
Green Grey Holding,Developer and Publisher,Limassol,https://greengreyholding.com/,greengreyholding.com,,error,,,0,error:FeatureNotFound
Guli Games,Mobile,Nicosia,https://guli-games.com/,guli-games.com,https://www.guli-games.com/jobs,found,custom,,80,homepage-link:Jobs | page:вакансии | career-like-url
HeroCraft,Developer and Publisher,Nicosia,https://herocraft.com/,herocraft.com,https://herocraft.com/ru/company/career/,possible,custom,,62,homepage-link:Карьера | page:вакансии | career-like-url
HolyDay Studios,Developer,Nicosia,https://www.holydaygames.com,holydaygames.com,,error,,,0,error:FeatureNotFound
Hot Siberians,Mobile,Limassol,https://hotsiberians.com/,hotsiberians.com,,error,,,0,error:FeatureNotFound
Hyperhug,Mobile,Limassol,https://hyperhug.io/,hyperhug.io,https://jobs.ashbyhq.com/hyperhug,found,ats,ashby,100,homepage-link:Apply | career-like-url | ats:ashby
HypeTrain Digital,Developer and Publisher,Nicosia,https://hypetraindigital.com/,hypetraindigital.com,https://hypetraindigital.com/jobs,found,custom,,68,homepage-link:jobs | career-like-url
Lesser Evil Games,Developer,Nicosia,https://executionergame.com/,executionergame.com,,unreachable,,,0,homepage-unreachable
Light Hour Games (GDEV),Mobile,Limassol,https://www.lighthour.games/,lighthour.games,,error,,,0,error:FeatureNotFound
Made on Earth Games,Mobile,Limassol,https://madeonearth.games/,madeonearth.games,,not_found,,,0,
MGVC (My.Games),Investment,Limassol,https://mgvc.com/,mgvc.com,,error,,,0,error:FeatureNotFound
MGVC Publishing (My.Games),Publisher,Limassol,https://about.my.games/publishing,about.my.games,https://careers.my.games/?_1ld=3836064_1&_1lpid=130408,found,custom,,85,homepage-link:Careers | career-like-url
