company_id,company,format_status,list_strategy,item_strategy,id_from,title_from,location_from,url_from,description_from
1,101XP,verified_empty,html_vacancies_page,none_until_named_opening,n/a,n/a,n/a,n/a,n/a
2,AB Games,verified_live,html_job_links,detail_page,detail_url_slug,detail_h1,detail_or_list_location,detail_href,detail_main
3,Amrita Studio,blocked_live,browser_required,browser_detail_page,canonical_url,detail_h1,detail_or_list_location,detail_href,detail_main
4,AppQuantum,verified_live,pinpoint_board,ats_job_page,posting_id_or_url,title,location,posting_url,job_description
5,Artstorm,verified_live,dynamic_careers_list,public_detail_page,detail_url_slug,detail_h1,detail_location,detail_href,detail_main
9,Awem Games,blocked_live,browser_required,browser_detail_or_card,canonical_url_or_card_key,job_heading,job_location,detail_href_or_source_url,job_detail_or_card_body
10,Azur Games,verified_live,html_job_links,detail_page,detail_url_slug,detail_h1,detail_or_list_location,detail_href,detail_main
11,Belka Games,verified_live,greenhouse_board_filtered_Belka,json_or_detail_page,greenhouse_job_id,title,location.name,absolute_url,content
12,BIT.GAMES,verified_empty_or_legacy,official_jobs_page,none_reliable_current,n/a,n/a,n/a,n/a,n/a
13,Burny Games,verified_live,dynamic_careers_board,public_detail_page,detail_url_slug,detail_h1,detail_location,detail_href,detail_main
14,Chillbase,verified_live,html_vacancy_links,detail_page,detail_url_slug,detail_h1,detail_or_list_location,detail_href,detail_main
15,Colossi Games,verified_empty,official_vacancies_page,none_until_named_opening,n/a,n/a,n/a,n/a,n/a
16,Critical Reflex,blocked_live,bamboohr_board,bamboohr_detail_page,job_id_or_url,title,location,job_url,job_description
17,Cubic Games (Nexters),verified_empty,official_jobs_page,none_until_named_opening,n/a,n/a,n/a,n/a,n/a
22,Easybrain (Miniclip),verified_live,html_job_links,detail_page,detail_url_slug,detail_h1,detail_location,detail_href,detail_main
30,Guli Games,verified_live,html_job_links,detail_page,detail_url_slug,detail_h1,detail_or_list_location,detail_href,detail_main
31,HeroCraft,verified_empty,official_careers_page,none_until_named_opening,n/a,n/a,n/a,n/a,n/a
32,HolyDay Studios,verified_live,html_careers_openings,detail_page,detail_url_slug,detail_h1,detail_or_list_location,detail_href,detail_main
34,Hyperhug,verified_live,ashby_job_board,ashby_job_page,job_url_or_posting_id,title,location,jobUrl,descriptionHtml
35,HypeTrain Digital,verified_live,inline_openings,inline_job_section,source_url#normalized_title,job_heading,job_section_location_or_empty,source_url,job_section_body
42,Mundfish,verified_live,html_job_list_links,detail_page,detail_url_slug,list_anchor_text_without_tags,job_tags_or_detail_location,detail_href,detail_body_after_position_heading
44,Murka Games,verified_live,dynamic_career_roles,browser_detail_or_card,canonical_url_or_role_key,role_title,role_location,detail_href_or_source_url,role_description
45,My.Games,verified_live,html_job_links,detail_page,numeric_job_id_from_url,detail_h1,detail_location_or_hub,detail_href,detail_main
47,Nekki,verified_live,html_hiring_links,detail_page,detail_url_slug,detail_h1,detail_or_list_location,detail_href,detail_main
49,Nexters (GDEV),blocked_live,browser_required,browser_detail_page,canonical_url_or_job_id,job_heading,job_location,detail_href,detail_main
51,Nival,verified_empty,official_vacancies_page,none_for_Cyprus_now,n/a,n/a,n/a,n/a,n/a
53,Obelisk Studio,blocked_live,browser_required,browser_detail_page,canonical_url,detail_h1,detail_or_list_location,detail_href,detail_main
54,Outfit7,verified_live,html_job_links,detail_page,detail_url_slug,detail_h1,detail_location,detail_href,detail_main
55,Owlcat Games,blocked_live,dynamic_careers_list,browser_detail_page,canonical_url_or_job_id,job_heading,job_location,detail_href,detail_main
57,Playkot,verified_live,html_job_links,detail_page,detail_url_slug,detail_h1,detail_or_list_location,detail_href,detail_main
58,Playrix,blocked_live,browser_required,browser_detail_page,canonical_url_or_job_id,job_heading,job_location,detail_href,detail_main
60,Press Fire Games,verified_live,html_job_links,detail_page,detail_url_slug,detail_h1,detail_or_list_location,detail_href,detail_main
62,Rainstyle Games,verified_empty,career_page_general_application,none_until_named_opening,n/a,n/a,n/a,n/a,n/a
63,ReactGames Studio,blocked_live,career_page_current_jobs,browser_or_inline,canonical_url_or_source_url#title,job_heading,job_location,detail_href_or_source_url,detail_main_or_job_section
66,Reef Games Studio,verified_empty,career_section_general_application,none_until_named_opening,n/a,n/a,n/a,n/a,n/a
67,RetroStyle Games,verified_live,html_job_links,detail_page,detail_url_slug,detail_h1,detail_or_list_location,detail_href,detail_main
68,RJ Games (Nexters),blocked_live,browser_required,browser_detail_page,canonical_url,job_heading,job_location,detail_href,detail_main
69,Say Games,verified_live,huntflow_board,ats_job_page,huntflow_job_id_or_url,title,location,job_url,job_description
71,Studio42,verified_empty,official_open_jobs_page,none_until_named_opening,n/a,n/a,n/a,n/a,n/a
72,Sunday Games,verified_live,inline_current_jobs,inline_job_section,source_url#normalized_title,job_heading,job_section_location_or_empty,source_url,job_section_body
73,Tamasenco,verified_live,inline_current_openings,inline_job_section,source_url#normalized_title,job_heading,job_section_location_or_empty,source_url,job_section_body
74,Team Clout,blocked_live,browser_required,browser_detail_page,canonical_url,job_heading,job_location,detail_href,detail_main
75,TrueMyth Games,verified_live_stale_check_required,html_job_openings,detail_page,detail_url_slug,detail_h1,detail_or_list_location,detail_href,detail_main_and_validity_date
76,Unfrozen Studios,verified_empty,official_jobs_page,none_until_named_opening,n/a,n/a,n/a,n/a,n/a
78,Wargaming Cyprus,verified_live,nicosia_office_job_links,detail_page,canonical_url_or_job_id,detail_h1,detail_location,detail_href,detail_main
