company_id,company,status,source_url,method,format,notes
1,101XP,found,https://newcorp.101xp.com/vacancies,html,html_list,Official 101XP vacancies page
2,AB Games,found,https://ab-games.com/en/,html,html_list,Official site contains career filters and vacancy list
3,Amrita Studio,found,https://amrita.studio/career,browser,html,Official career URL; anti-bot verification blocks simple HTTP access
4,AppQuantum,found,https://appquantum.pinpointhq.com/,pinpoint,json_api,Official AppQuantum site links directly to Pinpoint careers
5,Artstorm,found,https://artstorm.com/en-US/careers,html,html_list,Official careers page with job list and detail pages
6,Ascanio,unknown,,,,Company appears rebranded as Senera; current job source needs confirmation
7,AtentGames,not_found,,,,Official site has Work with us text but no vacancy source or careers link found
8,AurumDust,not_found,,,,Official site has no careers or vacancies source found
9,Awem Games,found,https://awem.com/careers,html,js_rendered_html,Official careers page; vacancy content appears dynamically rendered
10,Azur Games,found,https://azurgames.com/ru/jobs/,html,html_list,Official jobs page with filters and vacancy list
11,Belka Games,unknown,,,,
12,BIT.GAMES,unknown,,,,
13,Burny Games,unknown,,,,
14,Chillbase,unknown,,,,
15,Colossi Games,unknown,,,,
16,Critical Reflex,unknown,,,,
17,Cubic Games (Nexters),unknown,,,,
18,Cyril Megem (Nominia),unknown,,,,
19,DEUSCRAFT,unknown,,,,
20,Domini Games,unknown,,,,
21,Ducky,unknown,,,,
22,Easybrain (Miniclip),unknown,,,,
23,Emotion Spark Studio,unknown,,,,
24,Eschatology Entertainment,unknown,,,,
25,ESDigital Games,unknown,,,,
26,Game Gears (GDEV),unknown,,,,
27,GDEV,unknown,,,,
28,Gem Capital,unknown,,,,
29,Green Grey Holding,unknown,,,,
30,Guli Games,unknown,,,,
31,HeroCraft,unknown,,,,
32,HolyDay Studios,unknown,,,,
33,Hot Siberians,unknown,,,,
34,Hyperhug,unknown,,,,
35,HypeTrain Digital,unknown,,,,
36,Lesser Evil Games,unknown,,,,
37,Light Hour Games (GDEV),unknown,,,,
38,Made on Earth Games,unknown,,,,
39,MGVC (My.Games),unknown,,,,
40,MGVC Publishing (My.Games),unknown,,,,
41,Mika Games,unknown,,,,
42,Mundfish,unknown,,,,
43,Mundfish Powerhouse,unknown,,,,
44,Murka Games,unknown,,,,
45,My.Games,unknown,,,,
46,Narhwal Accelerator,unknown,,,,
47,Nekki,unknown,,,,
48,New Folder Games,unknown,,,,
49,Nexters (GDEV),unknown,,,,
50,Nice Plans Studio,unknown,,,,
51,Nival,unknown,,,,
52,Nova Assembly,unknown,,,,
53,Obelisk Studio,unknown,,,,
54,Outfit7,unknown,,,,
55,Owlcat Games,unknown,,,,
56,Pixonic,unknown,,,,
57,Playkot,unknown,,,,
58,Playrix,unknown,,,,
59,Polden Publishing,unknown,,,,
60,Press Fire Games,unknown,,,,
61,Qumaron,unknown,,,,
62,Rainstyle Games,unknown,,,,
63,ReactGames Studio,unknown,,,,
64,Red Brix Wall,unknown,,,,
65,redux.games,unknown,,,,
66,Reef Games Studio,unknown,,,,
67,RetroStyle Games,unknown,,,,
68,RJ Games (Nexters),unknown,,,,
69,Say Games,unknown,,,,
70,Shaman Games Studio,unknown,,,,
71,Studio42,unknown,,,,
72,Sunday Games,unknown,,,,
73,Tamasenco,unknown,,,,
74,Team Clout,unknown,,,,
75,TrueMyth Games,unknown,,,,
76,Unfrozen Studios,unknown,,,,
77,VEA Games,unknown,,,,
78,Wargaming Cyprus,unknown,,,,
79,Weappy Studio,unknown,,,,
80,XDevs,unknown,,,,
