source_row,company,type,city,state,country,website,domain
1,101XP,Developer and Publisher,Nicosia,Nicosia,Cyprus,https://101xp.com/,101xp.com
2,AB Games,Mobile,Limassol,Limassol,Cyprus,https://ab-games.com/,ab-games.com
3,Amrita Studio,Developer,Rowye,Limassol,Cyprus,https://amrita.studio/,amrita.studio
4,AppQuantum,Developer and Publisher,Limassol,Limassol,Cyprus,https://appquantum.com/,appquantum.com
5,Artstorm,Mobile,Limassol,Limassol,Cyprus,https://artstorm.com/,artstorm.com
6,Ascanio,Extended Reality (XR),Nicosia,Nicosia,Cyprus,https://ascanio.io/,ascanio.io
7,AtentGames,Developer,Nicosia,Nicosia,Cyprus,https://atentgames.com/,atentgames.com
8,AurumDust,Developer,Nicosia,Nicosia,Cyprus,https://aurumdust.com/,aurumdust.com
9,Awem Games,Mobile,Paphos,Paphos,Cyprus,https://awem.com/,awem.com
10,Azur Games,Mobile,Strovolos,Nicosia,Cyprus,https://azurgames.com/,azurgames.com
11,Belka Games,Mobile,Limassol,Limassol,Cyprus,https://belka-games.com/,belka-games.com
12,BIT.GAMES,Mobile,Limassol,Limassol,Cyprus,https://bit.games/,bit.games
13,Burny Games,Developer,Nicosia,Nicosia,Cyprus,https://www.burny.games/,burny.games
14,Chillbase,Mobile,Nicosia,Nicosia,Cyprus,https://chillbase.net/,chillbase.net
15,Colossi Games,Mobile,Limassol,Limassol,Cyprus,https://www.colossi.games,colossi.games
16,Critical Reflex,Publisher,Nicosia,Nicosia,Cyprus,https://criticalreflex.com/,criticalreflex.com
17,Cubic Games (Nexters),Mobile,Limassol,Limassol,Cyprus,https://cubicgames.com/,cubicgames.com
18,Cyril Megem (Nominia),Microstudio,Paphos,Paphos,Cyprus,http://warshift.net/,warshift.net
19,DEUSCRAFT,Mobile,Limassol,Limassol,Cyprus,https://www.deuscraft.com/,deuscraft.com
20,Domini Games,Developer,Limassol,Limassol,Cyprus,https://dominigames.com/,dominigames.com
21,Ducky,Mobile,Limassol,Limassol,Cyprus,https://playducky.com/,playducky.com
22,Easybrain (Miniclip),Mobile,Limassol,Limassol,Cyprus,https://www.easybrain.com,easybrain.com
23,Emotion Spark Studio,Developer,Nicosia,Nicosia,Cyprus,http://emotion.mycpanel.rs/,emotion.mycpanel.rs
24,Eschatology Entertainment,Developer,Nicosia,Nicosia,Cyprus,https://eschatology-entertainment.com/,eschatology-entertainment.com
25,ESDigital Games,Developer and Publisher,Limassol,Limassol,Cyprus,https://esdigital.games/,esdigital.games
